"Classe de Chuva", "MaxQ", "MinBER", "Attenuation", "Distancia" 
0, 967.87205, 0.0, 1.76609, 1.5km
0, 963.835127, 0.0, 1.78645, 1.5km
0, 959.810111, 0.0, 1.80682, 1.5km
0, 955.797002, 0.0, 1.82718, 1.5km
0, 951.795797, 0.0, 1.84755, 1.5km
0, 947.806493, 0.0, 1.86791, 1.5km
0, 943.829087, 0.0, 1.88827, 1.5km
0, 939.863577, 0.0, 1.90864, 1.5km
0, 935.909958, 0.0, 1.9290, 1.5km
0, 931.968227, 0.0, 1.94936, 1.5km
0, 928.038378, 0.0, 1.96973, 1.5km
0, 924.120409, 0.0, 1.99009, 1.5km
0, 920.214313, 0.0, 2.01045, 1.5km
0, 916.320085, 0.0, 2.03082, 1.5km
0, 912.43772, 0.0, 2.05118, 1.5km
0, 908.567212, 0.0, 2.07155, 1.5km
0, 904.708554, 0.0, 2.09191, 1.5km
0, 900.861741, 0.0, 2.11227, 1.5km
0, 897.026764, 0.0, 2.13264, 1.5km
0, 893.203618, 0.0, 2.1530, 1.5km
0, 889.392294, 0.0, 2.17336, 1.5km
0, 885.592786, 0.0, 2.19373, 1.5km
0, 881.805084, 0.0, 2.21409, 1.5km
0, 878.029181, 0.0, 2.23445, 1.5km
0, 874.265069, 0.0, 2.25482, 1.5km
0, 870.512737, 0.0, 2.27518, 1.5km
0, 866.772178, 0.0, 2.29555, 1.5km
0, 863.043382, 0.0, 2.31591, 1.5km
0, 859.326338, 0.0, 2.33627, 1.5km
0, 855.621039, 0.0, 2.35664, 1.5km
0, 851.927472, 0.0, 2.3770, 1.5km
0, 848.245628, 0.0, 2.39736, 1.5km
0, 844.575496, 0.0, 2.41773, 1.5km
0, 840.917065, 0.0, 2.43809, 1.5km
0, 837.270325, 0.0, 2.45845, 1.5km
0, 833.635262, 0.0, 2.47882, 1.5km
0, 830.011867, 0.0, 2.49918, 1.5km
0, 826.400127, 0.0, 2.51955, 1.5km
0, 822.80003, 0.0, 2.53991, 1.5km
0, 819.211564, 0.0, 2.56027, 1.5km
0, 815.634715, 0.0, 2.58064, 1.5km
0, 812.069472, 0.0, 2.6010, 1.5km
0, 808.515821, 0.0, 2.62136, 1.5km
0, 804.973749, 0.0, 2.64173, 1.5km
0, 801.443243, 0.0, 2.66209, 1.5km
0, 797.924289, 0.0, 2.68245, 1.5km
0, 794.416873, 0.0, 2.70282, 1.5km
0, 790.920982, 0.0, 2.72318, 1.5km
0, 787.4366, 0.0, 2.74355, 1.5km
0, 783.963713, 0.0, 2.76391, 1.5km
0, 780.502307, 0.0, 2.78427, 1.5km
0, 777.052367, 0.0, 2.80464, 1.5km
0, 773.613878, 0.0, 2.8250, 1.5km
0, 770.186825, 0.0, 2.84536, 1.5km
